PlayerNBAId,PlayerNBAName,PlayerNBABirthDate,PlayerBREFId,PlayerBREFName,PlayerBREFBirthDate
2,Byron Scott,1961-03-28,scottby01,Byron Scott,1961-03-28
3,Grant Long,1966-03-12,longgr01,Grant Long,1966-03-12
7,Dan Schayes,1959-05-10,schayda01,Danny Schayes,1959-05-10
9,Sedale Threatt,1961-09-10,threase01,Sedale Threatt,1961-09-10
12,Chris King,1969-07-24,kingch01,Chris King,1969-07-24
15,Eric Piatkowski,1970-09-30,piatker01,Eric Piatkowski,1970-09-30
17,Clyde Drexler,1962-06-22,drexlcl01,Clyde Drexler,1962-06-22
21,Greg Anthony,1967-11-15,anthogr01,Greg Anthony,1967-11-15
22,Rik Smits,1966-08-23,smitsri01,Rik Smits,1966-08-23
23,Dennis Rodman,1961-05-13,rodmade01,Dennis Rodman,1961-05-13
24,Keith Jennings,1968-11-02,jennike01,Keith Jennings,1968-11-02
26,Luc Longley,1969-01-19,longllu01,Luc Longley,1969-01-19
28,Doug West,1967-05-27,westdo01,Doug West,1967-05-27
29,Jim McIlvaine,1972-07-30,mcilvji01,Jim McIlvaine,1972-07-30
30,Richard Dumas,1969-05-19,dumasri02,Richard Dumas,1969-05-19
31,Lorenzo Williams,1969-07-15,willilo01,Lorenzo Williams,1969-07-15
32,Clifford Rozier,1972-10-31,roziecl01,Clifford Rozier,1972-10-31
35,Eric Riley,1970-06-02,rileyer01,Eric Riley,1970-06-02
36,Sarunas Marciulionis,1964-06-13,marcisa01,arunas Marciulionis,1964-06-13
37,Greg Graham,1970-11-26,grahagr01,Greg Graham,1970-11-26
38,Brad Lohaus,1964-09-29,lohaubr01,Brad Lohaus,1964-09-29
41,Anthony Bonner,1968-06-08,bonnean01,Anthony Bonner,1968-06-08
42,Monty Williams,1971-10-08,willimo01,Monty Williams,1971-10-08
43,Chris Whitney,1971-10-05,whitnch01,Chris Whitney,1971-10-05
45,George McCloud,1967-05-27,mccloge01,George McCloud,1967-05-27
46,Mike Peplowski,1970-10-15,peplomi01,Mike Peplowski,1970-10-15
47,Wayman Tisdale,1964-06-09,tisdawa01,Wayman Tisdale,1964-06-09
49,Gheorghe Muresan,1971-02-14,muresgh01,Gheorghe Mure?an,1971-02-14
51,Mahmoud Abdul-Rauf,1969-03-09,abdulma02,Mahmoud Abdul-Rauf,1969-03-09
52,Micheal Williams,1966-07-23,willimi02,Micheal Williams,1966-07-23
53,Mario Elie,1963-11-26,eliema01,Mario Elie,1963-11-26
